,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
servo,0.98878,0.935231,0.962872,0.990106,0.9694,0.981028,0.95716,0.6626506024096386,0.029940119760479042,,,,,2.0,5.0,20.0,0.0,0.0,0.0,100.0
rmftsa_sleepdata,0.694559,0.748156,0.625369,0.603081,0.619464,0.731974,0.659106,0.9687194525904204,0.0029296875,-0.572050122459228,85.6291748046875,0.42590163573769146,7.642280073235527,4.0,3.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
tic-tac-toe,0.997652,0.904954,0.747604,0.975904,0.750832,0.999639,0.913223,0.9989550679205852,0.010438413361169102,,,,,2.0,10.0,10.0,0.0,0.0,0.0,100.0
chscase_health,0.606571,0.403846,0.679487,0.639423,0.692308,0.621795,0.551282,,0.06,-0.3991615705191739,892.0899999999999,-0.07983548212324192,113.89990477229331,,3.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
cmc,0.682763,0.728537,0.681491,0.66977,0.687454,0.635924,0.709041,0.9966032608695652,0.006788866259334691,0.2928560302339025,17.89986422267482,0.6777315757939906,5.2928968090790125,3.0,10.0,30.0,0.0,0.0,20.0,80.0
colleges_aaup,0.916442,0.911109,0.898223,0.88556,0.899051,0.836204,0.9041,0.5086206896551724,0.012919896640826873,4.003674970591461,335.77908459577486,1.3871231769119512,109.25711049667814,4.0,15.0,0.0,7.493540051679587,1.4699971289118576,86.66666666666667,13.333333333333334
breast-cancer,0.681797,0.682733,0.700176,0.668657,0.697893,0.663243,0.657302,0.5684210526315789,0.03496503496503497,,,,,2.0,10.0,40.0,3.146853146853147,0.3146853146853147,0.0,100.0
datatrieve,0.640947,0.65508,0.455309,0.53285,0.776165,0.769672,0.4534,0.9457364341085271,0.06923076923076923,3.4910537240569135,357.7903846153846,1.5292414236085814,336.91079495271276,2.0,9.0,11.11111111111111,0.0,0.0,88.88888888888889,11.11111111111111
liver-disorders,0.740155,0.619552,0.620017,0.567207,0.630621,0.637672,0.738655,0.8255813953488372,0.017391304347826087,6.57117573055445,42.802898550724635,1.6886196204361754,15.827503400802176,0.0,6.0,0.0,0.0,0.0,100.0,0.0
analcatdata_cyyoung8092,0.829338,0.841895,0.829053,0.742865,0.821918,0.74629,0.724886,0.53125,0.1134020618556701,-0.7200366661572135,332.02545802650957,-0.020321797177008594,25.509447604043498,2.0,11.0,27.27272727272727,0.0,0.0,63.63636363636363,36.36363636363637
volcanoes-e2,0.790487,0.804067,0.485139,0.503113,0.820028,0.77146,0.777246,0.9499536607970342,0.003703703703703704,-0.5133738846596039,341.81080672067907,0.36187460214469824,189.57086987980645,5.0,4.0,0.0,0.0,0.0,75.0,25.0
fri_c4_1000_10,0.963095,0.961006,0.700864,0.669306,0.697528,0.844608,0.917259,-0.1431321730294305,0.011,-0.5092063183629136,5.750025164341646e-11,0.26265382761299244,0.9999999994973643,0.0,11.0,0.0,0.0,0.0,100.0,0.0
mushroom,1.0,0.989031,0.999458,1.0,0.998011,1.0,1.0,0.726332635725717,0.002831117676021664,,,,,2.0,23.0,21.73913043478261,30.526834071885773,1.3272536552993814,0.0,100.0
fri_c0_500_50,0.924901,0.887935,0.888384,0.873287,0.897493,0.766642,0.865314,-0.14651796389178268,0.102,-1.1738168223912187,-3.630963723902295e-11,0.008331115404067375,0.9999999999191249,0.0,51.0,0.0,0.0,0.0,100.0,0.0
ar6,0.632946,0.587597,0.401938,0.615116,0.627519,0.675194,0.485271,0.82,0.297029702970297,12.508975501454573,119.2550734038921,2.7803486499343353,235.72618489571184,2.0,30.0,3.3333333333333335,0.0,0.0,96.66666666666667,3.3333333333333335
fri_c1_100_5,0.879798,0.878384,0.850505,0.724242,0.852929,0.842828,0.843636,-0.18904469078787867,0.06,-0.7968009333318321,-1.316666594271727e-10,0.05894971468647312,1.0000000035980428,0.0,6.0,0.0,0.0,0.0,100.0,0.0
fri_c0_250_5,0.935776,0.886848,0.92832,0.86192,0.930176,0.9368,0.870944,-0.1739876639919678,0.024,-1.0863165158603825,-3.8666372696264645e-12,-0.05502424060545589,0.9999999998299314,0.0,6.0,0.0,0.0,0.0,100.0,0.0
colic,0.788373,0.763733,0.517881,0.827538,0.776342,0.675684,0.617002,0.5449591280653951,0.07336956521739131,0.8947709146578557,31.10742246734731,0.7054589272120776,12.710387288065709,2.0,27.0,18.51851851851852,98.09782608695652,19.394122383252817,25.925925925925924,74.07407407407408
analcatdata_gsssexsurvey,0.545737,0.55576,0.454839,0.548502,0.574194,0.500346,0.609332,0.47468354430379744,0.06289308176100629,3.9091211561999764,4922.47966457023,1.5446898401998712,3448.5649830178054,0.0,10.0,50.0,3.7735849056603774,0.37735849056603776,50.0,50.0
transplant,0.999498,0.999247,0.997741,0.999874,0.998996,0.999498,0.998243,0.0,0.022900763358778626,4.915225084278625,32.07124681933841,1.5258190884896703,22.579638450102404,0.0,3.0,0.0,0.0,0.0,100.0,0.0
credit-approval,0.924635,0.892478,0.740736,0.881699,0.897841,0.9138,0.913613,0.9782293178519593,0.02318840579710145,49.931703911167034,207.0584299702253,4.423867143578692,901.5091409447066,2.0,16.0,31.25,5.36231884057971,0.6068840579710145,37.5,62.5
sensory,0.731994,0.565499,0.644029,0.645314,0.633202,0.699179,0.731609,0.2782608695652174,0.020833333333333332,0.06567556539393804,15.074652777777779,-0.040489644161149384,0.8228158762345181,0.0,12.0,33.33333333333333,0.0,0.0,8.333333333333332,91.66666666666666
squash-stored,0.763547,0.897712,0.776978,0.785902,0.819184,0.730745,0.764549,0.5098039215686274,0.4807692307692308,-0.3067974601828094,412.4587287222581,-0.017664249746357514,94.86049223849403,3.0,25.0,0.0,3.8461538461538463,0.5384615384615384,84.0,16.0
schizo,0.881564,0.802693,0.590032,0.603255,0.595716,0.56589,0.914145,0.9970501474926253,0.04411764705882353,0.4784980761712919,11.978481991780992,-0.034557428006484175,7.564040096730637,2.0,15.0,13.333333333333334,67.05882352941175,16.35294117647059,80.0,20.0
sleuth_case1102,0.375439,0.435088,0.389474,0.494737,0.368421,0.494737,0.291228,-111.48484848484848,0.2647058823529412,-0.11907870209234908,118198.90294117652,0.4979302745694308,119580.47318071191,0.0,9.0,22.22222222222222,0.0,0.0,66.66666666666666,33.33333333333333
dbworld-subjects-stemmed,0.929064,0.985222,0.922167,0.926601,0.922167,0.892611,0.920197,0.9365079365079365,3.59375,,,,,2.0,230.0,100.0,0.0,0.0,0.0,100.0
autoMpg,0.980899,0.974178,0.962495,0.95171,0.962355,0.958925,0.965254,-2.8831234256926956,0.020100502512562814,-0.18529258343933788,661.4805107168497,0.6147754295851477,200.03528910874596,0.0,8.0,0.0,1.507537688442211,0.18844221105527637,62.5,37.5
delta_ailerons,0.978249,0.965935,0.945242,0.940837,0.965615,0.965826,0.972393,0.3980078563411897,0.0008416327675690841,0.49835243559771897,0.0029725156403422625,0.11328191847880668,0.005903906068326017,2.0,6.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664
heart-switzerland,0.602423,0.50479,0.455454,0.588406,0.55678,0.607904,0.585151,0.2540983606557377,0.10569105691056911,2.985923673758244,11.197154471544716,0.1506726386585607,4.3370702212342875,5.0,13.0,0.0,0.0,0.0,92.3076923076923,7.6923076923076925
hutsof99_logis,0.757761,0.697712,0.81781,0.768791,0.812908,0.784314,0.738971,0.18086956521739114,0.11428571428571428,-0.45699669027226786,28.24235714285714,0.09856081524037566,9.514716075403216,0.0,8.0,37.5,0.0,0.0,50.0,50.0
labor,0.960811,0.964865,0.893243,0.989189,0.987838,0.952703,0.913514,0.75,0.2982456140350877,2.046258446813748,9.412290709168722,0.2550756866594959,2.2355097044693673,2.0,17.0,23.52941176470588,98.24561403508771,33.64293085655315,47.05882352941176,52.94117647058824
pasture,0.917245,0.83912,0.818866,0.863426,0.854167,0.829861,0.94213,0.6,0.6388888888888888,0.20805200601030316,211.37171957671958,0.5067999805955464,71.35212973397384,3.0,23.0,0.0,0.0,0.0,91.30434782608695,8.695652173913043
elevators,0.918115,0.81737,0.790967,0.831101,0.797225,0.851903,0.864047,0.9981137486444147,0.0011446472679077053,952.7111361092333,-1.888413218297854,9.353325020365268,16.84492690422495,0.0,19.0,0.0,0.0,0.0,100.0,0.0
vertebra-column,0.948935,0.924399,0.952836,0.916251,0.951301,0.91466,0.936675,0.9935275080906149,0.02258064516129032,7.17875248304097,52.85693083387097,1.1216900361013757,18.349736716792922,3.0,7.0,0.0,0.0,0.0,85.71428571428571,14.285714285714285
seismic-bumps,0.984813,0.989048,0.98517,0.976735,0.985714,0.992993,0.980442,0.9904306220095693,0.0380952380952381,-0.7317172516082001,6.896174081632653,0.267418965717047,1.0078718751989215,3.0,8.0,0.0,0.0,0.0,87.5,12.5
pima,0.820903,0.768164,0.811392,0.738291,0.811142,0.783948,0.802317,,,,,,,,,,,,,
dresses-sales,0.537767,0.559409,0.631067,0.620755,0.629507,0.573481,0.546174,0.4729458917835671,0.026,-0.5820891187268162,3.5286,-1.1647649580553958,2.005364059222174,2.0,13.0,7.6923076923076925,80.2,12.846153846153847,7.6923076923076925,92.3076923076923
glass,0.940665,0.936505,0.760703,0.785364,0.772569,0.879127,0.903537,0.26291079812206575,0.04672897196261682,9.908544271023354,11.26585160955348,1.6525943876045246,0.6895407776407761,6.0,10.0,0.0,0.0,0.0,90.0,10.0
flags,0.903909,0.907361,0.857637,0.876135,0.864259,0.828906,0.907157,0.23834196891191708,0.14948453608247422,69.2515443639653,361.6572164948452,7.663973401486035,1131.4310084526958,8.0,29.0,44.827586206896555,0.0,0.0,6.896551724137931,93.10344827586206
arsenic-female-lung,0.88694,0.929776,0.766277,0.840936,0.862378,0.883138,0.84615,-0.23118279569892472,0.008944543828264758,48.96785036322968,5948.919722719081,4.856862577835436,45312.5784903361,0.0,5.0,0.0,0.0,0.0,80.0,20.0
visualizing_livestock,0.041346,0.614312,0.592049,0.120007,0.568343,0.321006,0.701775,0.9689922480620154,0.023076923076923078,37.68961214596471,18212792.307692315,5.49900513091046,45105899.03061052,5.0,3.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666
anneal,0.98838,0.963691,0.491457,0.886945,0.948884,0.964604,0.975483,0.6064659977703456,0.043429844097995544,4.6480244352098286,348.50426818856715,2.0269825910719437,405.17326983791025,5.0,39.0,10.256410256410255,100.0,63.317343384158534,15.384615384615385,84.61538461538461
fri_c2_100_5,0.87875,0.870833,0.724583,0.782708,0.760417,0.843333,0.795208,-0.016383860529292537,0.06,-0.547292339387657,9.969999501905729e-11,0.07936211396890297,0.9999999990869534,0.0,6.0,0.0,0.0,0.0,100.0,0.0
analcatdata_marketing,0.518037,0.547215,0.487288,0.503318,0.508119,0.475572,0.516309,0.418732782369146,0.09065934065934066,,,,,6.0,33.0,0.0,14.560439560439562,0.8408258408258408,0.0,100.0
veteran,0.745299,0.733424,0.728105,0.697551,0.734785,0.681593,0.662172,-124.53676470588235,0.058394160583941604,9.04210046454042,61.81934306569343,1.572262032834297,49.75252058414204,0.0,8.0,37.5,0.0,0.0,50.0,50.0
sleuth_case2002,0.650873,0.696953,0.701319,0.67447,0.704849,0.636288,0.691657,-8.965753424657533,0.047619047619047616,-0.13442344173577875,33.49886621315193,-0.425379432019876,10.320834535002145,0.0,7.0,57.14285714285714,0.0,0.0,42.857142857142854,57.14285714285714
thyroid-ann,0.999831,0.969752,0.583415,0.607736,0.948539,0.756275,0.998083,0.8605144523998939,0.005832449628844115,229.97359527100673,0.07630860248447204,8.323514986421094,0.13812035971397743,3.0,22.0,0.0,0.0,0.0,95.45454545454545,4.545454545454546
steel-plates-fault,0.999938,0.545705,0.995477,1.0,0.920972,0.998618,0.996276,0.9994845360824742,0.01751674394641937,91.64638873109897,106447.78586589223,3.6458966474516092,123291.94556078123,2.0,34.0,2.941176470588235,0.0,0.0,97.05882352941177,2.941176470588235
fri_c1_250_50,0.915735,0.95136,0.741037,0.712842,0.738454,0.629675,0.907112,-0.18741030319196864,0.204,-1.176935497376413,-1.8815685976873252e-10,-0.01847468417482215,0.9999999998970109,0.0,51.0,0.0,0.0,0.0,100.0,0.0
pollen,0.489334,0.493243,0.507179,0.489604,0.478082,0.487069,0.495288,-2.5595993501429675,0.0012993762993762994,-0.09660835571472726,0.0008058939708938329,0.02061748290880903,6.529446437142662,0.0,5.0,0.0,0.0,0.0,100.0,0.0
autoUniv-au1-1000,0.692123,0.691701,0.497655,0.501949,0.668561,0.631584,0.661954,0.6216216216216216,0.021,-1.7216934610698407,0.46799999999999997,0.14982672437764288,0.4858075227371849,2.0,21.0,4.761904761904762,0.0,0.0,95.23809523809523,4.761904761904762
volcanoes-b4,0.837665,0.879154,0.787874,0.499911,0.884567,0.77427,0.794501,0.9794876827951713,0.0003925417075564279,2.027184884291369,343.3160093804382,0.5308595770742285,191.63803139869353,5.0,4.0,0.0,0.0,0.0,75.0,25.0
echoMonths,0.833333,0.792022,0.806818,0.779238,0.812737,0.781723,0.811198,-14.794108527131783,0.07692307692307693,1.1708542277093676,16.85601115133617,0.7045952328541203,5.434179706591303,0.0,10.0,30.0,53.07692307692308,7.461538461538461,70.0,30.0
CastMetal1,0.7401,0.66345,0.476692,0.50142,0.682456,0.670259,0.691437,0.7668711656441718,0.1162079510703364,22.627860939000136,1462.387446069923,3.5743632037093693,4655.669055917608,2.0,38.0,2.631578947368421,0.0,0.0,97.36842105263158,2.631578947368421
hayes-roth,0.949111,0.933808,0.845781,0.694073,0.838331,0.604008,0.853146,0.4088050314465409,0.03125,-0.7422881167188174,1.9375000000000002,0.5740318024082077,0.9124890720951269,3.0,5.0,0.0,0.0,0.0,80.0,20.0
analcatdata_wildcat,0.831805,0.811629,0.803925,0.750825,0.808694,0.842076,0.834098,0.8641975308641975,0.03680981595092025,3.856199235720351,62.16474857361969,1.390455078600265,59.58867614608678,0.0,6.0,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333
analcatdata_gviolence,0.997749,0.991748,0.962491,0.986497,0.970743,0.994749,0.968492,-319.8082191780822,0.12162162162162163,2.2478862546886624,823.5285285285286,1.0542329538434232,94.21060207619665,0.0,9.0,0.0,0.0,0.0,100.0,0.0
fri_c1_500_5,0.956768,0.955474,0.7305460449116715,0.738913,0.732989,0.912949,0.933364,-0.10942243135310697,0.012,-0.9851399019968707,3.5114332190093e-10,-0.04772233636153077,0.9999999999067994,0.0,6.0,0.0,0.0,0.0,100.0,0.0
fri_c2_250_25,0.930358,0.929743,0.63938,0.702055,0.717091,0.662324,0.887485,-0.10414905641285105,0.104,-1.1176388244842141,-3.4815362702820716e-12,0.019073112951984494,1.0000000001815557,0.0,26.0,0.0,0.0,0.0,100.0,0.0
kdd_el_nino-small,0.990466,0.960874,0.962519,0.967117,0.9777,0.94689,0.986321,,,,,,,,,,,,,
wdbc,0.990758,0.987382,0.976858,0.979203,0.980485,0.981509,0.981396,0.625,0.054481546572934976,7.8147348251102615,61.89071233954305,1.740406628520751,34.904718603211656,2.0,31.0,3.225806451612903,0.0,0.0,96.7741935483871,3.225806451612903
witmer_census_1980,0.721154,0.791667,0.719551,0.752404,0.701923,0.676282,0.726763,-2.997959183673469,0.1,1.078189417160752,1852.9316000000001,-0.09005074767025438,260.7906685771426,0.0,5.0,0.0,0.0,0.0,100.0,0.0
mw1,0.760709,0.540409,0.483394,0.678026,0.720387,0.780741,0.67937,0.8557213930348259,0.09429280397022333,11.651332911754626,251.88784186171284,2.519298523470371,556.7656238748065,2.0,38.0,2.631578947368421,0.0,0.0,97.36842105263158,2.631578947368421
fri_c1_500_50,0.897636,0.958272,0.688691,0.670777,0.686462,0.580602,0.905029,-0.1029116105935867,0.102,-1.1642918641905624,1.2128730281619083e-10,-0.012760485342081898,0.9999999998792359,0.0,51.0,0.0,0.0,0.0,100.0,0.0
strikes,0.998858,0.978464,0.6817,0.644598,0.683323,0.966421,0.998638,-236.55929487179486,0.0112,8.605432476605559,332.93568914285714,1.229290376483195,85.28878777277487,0.0,7.0,0.0,0.0,0.0,100.0,0.0
cloud,0.721012,0.895559,0.459704,0.5,0.476562,0.309622,0.898232,-0.008130841121495237,0.05555555555555555,3.776197431178775,1.5334953703703704,1.5632200452604756,1.2583977305783272,0.0,6.0,16.666666666666664,0.0,0.0,66.66666666666666,33.33333333333333
space_ga,0.916391,0.580174,0.740436,0.80715,0.810102,0.897174,0.891238,0.859022668137316,0.002252977148374638,1.5886985917122323,-7622530.957657797,0.026723771508470228,2330599.682245011,0.0,7.0,0.0,0.0,0.0,100.0,0.0
page-blocks,0.990937,0.989016,0.566661,0.771483,0.948904,0.965698,0.989745,0.8733552631578947,0.0020098666179426275,652.829669012381,253.3275863146391,14.71145196752045,840.2336192978349,5.0,11.0,0.0,0.0,0.0,90.9090909090909,9.090909090909092
pc1_req,0.577947,0.542999,0.490917,0.542319,0.588215,0.571519,0.595893,0.9968652037617555,0.028125,29.21542931541516,1.0120535714285714,3.402486427064878,0.8689477715847,2.0,9.0,11.11111111111111,0.0,0.0,77.77777777777779,22.22222222222222
analcatdata_birthday,0.889393,0.934809,0.904058,0.85078,0.916304,0.936744,0.929003,-603.1565934065934,0.010958904109589041,-0.6871029016492933,9132.161643835618,-0.3314455547211882,817.8820871096715,0.0,4.0,0.0,8.21917808219178,2.054794520547945,25.0,75.0
cpu,0.996734,0.977987,0.990506,0.984095,0.996493,0.96934,0.986212,-54.56730769230769,0.03827751196172249,14.615026077264112,2145.0656185919333,3.2789698127059266,2299.1099253002617,0.0,8.0,0.0,0.0,0.0,87.5,12.5
dna,0.993029,0.97174,0.99147,0.984435,0.991553,0.949594,0.986921,0.37551020408163266,0.05681104833647207,,,,,3.0,181.0,99.4475138121547,0.0,0.0,0.0,100.0
rabe_265,0.669048,0.677778,0.699206,0.724603,0.719841,0.746032,0.731746,-27.38799999999999,0.13725490196078433,3.8303850426138273,580.6988795518207,0.26117156373962314,93.5082598902701,0.0,7.0,0.0,0.0,0.0,100.0,0.0
thyroid-new,0.99215,0.981447,0.993363,0.890079,0.994925,0.985536,0.977644,0.9906542056074766,0.027906976744186046,14.473015642098243,25.705860465116277,2.6600622723590965,6.690169004353896,3.0,6.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664
fri_c3_1000_25,0.963749,0.977382,0.721191,0.701326,0.719584,0.658336,0.929915,-0.07150533650806906,0.026,-0.9482295662295099,1.0836741778129489e-10,0.056023470863648527,0.9999999997652959,0.0,26.0,0.0,0.0,0.0,100.0,0.0
balloon,0.871992,0.867172,0.830872,0.640748,0.854604,0.871114,0.840144,0.9282509999999995,0.0009995002498750624,25.032282124944317,1.024173413293353,-3.786742258064662,0.1627622084945116,0.0,2.0,0.0,0.0,0.0,100.0,0.0
fri_c0_1000_10,0.94393,0.928293,0.93966,0.864454,0.937464,0.862015,0.918422,-0.16778385143363342,0.011,-1.1311189047996788,1.872381995244764e-10,-0.0399556530608626,1.0000000002490446,0.0,11.0,0.0,0.0,0.0,100.0,0.0
volcanoes-a3,0.917749,0.929127,0.796198,0.606688,0.936224,0.882805,0.870466,0.944078947368421,0.0026298487836949377,-0.07605329943306374,334.9066255676088,0.5281982800455214,194.9548575744525,5.0,4.0,0.0,0.0,0.0,75.0,25.0
analcatdata_neavote,0.50384,0.354839,-1.0,0.5,0.546851,0.645929,0.33871,-2.7373737373737375,0.03,8.245017554304594,7.74,-2.019606942511125,2.1376665229519967,0.0,3.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
fri_c4_100_100,0.773986,0.850261,0.672019,0.551987,0.635889,0.499197,0.876756,-0.2537484204202023,1.01,-1.0790513751962894,1.0382177119185836e-11,0.021742876305213533,1.0000000004129097,0.0,101.0,0.0,0.0,0.0,100.0,0.0
jm1,0.755092,0.735268,0.527941,0.503221,0.626743,0.712633,0.739852,0.9998162440279309,0.002021129995406523,586.619469504969,1902.782368644972,15.836470747949765,21963.75301398026,2.0,22.0,4.545454545454546,0.045934772622875514,0.010439721050653527,95.45454545454545,4.545454545454546
autoUniv-au6-1000,0.58953,0.552562,0.494848,0.500186,0.519626,0.501153,0.598576,0.13213213213213212,0.041,-0.7948761752735738,4239.049820405406,-0.04584203760937026,1354.8443939588726,8.0,41.0,4.878048780487805,0.0,0.0,90.2439024390244,9.75609756097561
yeast_ml8,0.830077,0.86998,0.464287,0.598066,0.824103,0.768063,0.636432,0.9718543046357616,0.04840711625982623,1.3997952780886584,6.175144104663185e-05,0.34599301345974864,0.09850493765817374,2.0,117.0,11.965811965811966,0.0,0.0,88.03418803418803,11.965811965811966
analcatdata_apnea2,0.964416,0.75211,0.937899,0.929668,0.938945,0.917465,0.937918,-1459.042194092827,0.008421052631578947,11.55454827264023,424.7284210526315,2.4465776447884484,1560.142426819175,0.0,4.0,0.0,0.0,0.0,50.0,50.0
primary-tumor,0.793432,0.787166,0.835964,0.797544,0.831144,0.792835,0.807122,0.09763313609467456,0.05309734513274336,,,,,21.0,18.0,77.77777777777779,61.06194690265486,3.687315634218289,0.0,100.0
fri_c0_500_10,0.941885,0.898316,0.931511,0.887799,0.92733,0.869583,0.887654,-0.1372663699398795,0.022,-1.125698253315898,2.4315289801069006e-10,-0.025229144526702694,1.0000000001259355,0.0,11.0,0.0,0.0,0.0,100.0,0.0
volcanoes-d1,0.764496,0.809264,0.497832,0.504038,0.815937,0.73362,0.764045,0.967207495429616,0.0004569861761681709,-0.32556719191878064,338.38075034616696,0.4118795473809353,192.07122523568597,5.0,4.0,0.0,0.0,0.0,75.0,25.0
volcanoes-d2,0.783985,0.82557,0.498193,0.50378,0.825366,0.739852,0.759036,0.9682695453058554,0.0004361098996947231,-0.32545346331895086,338.9942112822718,0.4080619510036865,192.2493954805299,5.0,4.0,0.0,0.0,0.0,75.0,25.0
mofn-3-7-10,1.0,0.892482,1.0,1.0,1.0,0.994067,0.953493,0.6674225245653818,0.008308157099697885,,,,,2.0,11.0,100.0,0.0,0.0,0.0,100.0
hepatitis,0.856453,0.835874,0.876651,0.802464,0.878176,0.828633,0.777947,0.6558441558441559,0.12903225806451613,4.488057589193471,49.91941537555712,1.2819111669653118,29.743965454393496,2.0,20.0,70.0,48.38709677419355,5.387096774193548,30.0,70.0
sleuth_ex1221,0.839817,0.869565,0.797483,0.884439,0.789474,0.860412,0.871854,-49.5560975609756,0.23809523809523808,6.9791123251338885,105527.33648148151,2.052647388840067,154366.65914099326,0.0,10.0,0.0,0.0,0.0,90.0,10.0
gas-drift-different-concentrations,0.999648,0.996181,0.767705,0.994543,0.778094,0.998655,0.999225,0.5919907973254727,0.009345794392523364,1029.1859743804353,2771.0418689744333,4.606750441547723,2709.479512049457,6.0,130.0,0.0,0.0,0.0,99.23076923076923,0.7692307692307693
wine,0.999617,0.998871,0.998781,0.996211,0.998582,0.998956,0.994838,0.9887005649717514,0.07865168539325842,0.006742802303924433,69.13366292091614,0.3501684984202117,26.17778523132608,3.0,14.0,0.0,0.0,0.0,92.85714285714286,7.142857142857142
cpu_small,0.976611,0.821041,0.873833,0.893218,0.948734,0.963297,0.967507,-14.015504822366012,0.0015869140625,72.11975585200834,125046.85950477015,4.421146606963751,62074.41403311702,0.0,13.0,0.0,0.0,0.0,100.0,0.0
segment,0.99944,0.998952,0.963404,0.983865,0.969656,0.996034,0.997997,0.14811606756171503,0.008658008658008658,38.51719076973927,24.633144132657648,3.3209588546592426,25.314714480981483,7.0,20.0,0.0,0.0,0.0,95.0,5.0
SPECT,0.772256,0.83958,0.521655,0.793654,0.837436,0.823542,0.807419,0.9887218045112782,0.08614232209737828,,,,,2.0,23.0,100.0,0.0,0.0,0.0,100.0
fri_c4_250_25,0.920988,0.943305,0.639351,0.641415,0.685952,0.63245,0.917215,-0.07403135725381566,0.104,-0.9131674388245625,-2.259846176289476e-10,0.11198643878281002,0.9999999999026427,0.0,26.0,0.0,0.0,0.0,100.0,0.0
analcatdata_olympic2000,0.998163,0.581267,0.902663,0.913682,0.922865,0.901745,1.0,-518039.90769230766,0.18181818181818182,8.086700839142182,41668.17455306938,2.113269220354325,112060.62882882942,0.0,12.0,0.0,0.0,0.0,100.0,0.0
autoUniv-au6-400,0.587922,0.567481,0.496271,0.529791,0.556866,0.490384,0.6603,0.18045112781954886,0.1025,-0.7639572021539291,4183.004331486486,-0.04722309815452377,1378.348841220337,8.0,41.0,4.878048780487805,0.0,0.0,90.2439024390244,9.75609756097561
dental,0.5632999774998613,0.5175290273471842,0.4673422409632372,0.5965657469795149,0.5354979939383726,0.5401336619260994,0.48989120405975733,,,,,,,,,,,,,
ar5,0.861607,0.857143,0.816964,0.854911,0.875,0.897321,0.841518,0.6857142857142857,0.8333333333333334,6.694600180595414,1162.2897061194444,2.196152364056136,2137.5258346550663,2.0,30.0,3.3333333333333335,0.0,0.0,96.66666666666667,3.3333333333333335
crx,0.926621,0.883434,0.824249,0.883536,0.894481,0.915471,0.920727,,,,,,,,,,,,,
rabe_166,0.962406,0.949875,0.954887,0.943609,0.954887,0.927318,0.937343,-1.5384615384615385,0.075,-1.2126920502398884,99.42375,0.04947221039029473,18.42333166313417,0.0,3.0,0.0,0.0,0.0,100.0,0.0
prnn_cushings,0.807637,0.92388,0.813078,0.718131,0.823034,0.891481,0.828642,0.7307692307692307,0.1111111111111111,6.546042496044314,6.348888888888888,2.369899092551936,6.870960412054579,4.0,3.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
xd6,1.0,0.866331,0.852408,0.825388,0.859385,1.0,0.962964,0.5853909465020576,0.010277492291880781,,,,,2.0,10.0,100.0,0.0,0.0,0.0,100.0
volcanoes-d3,0.782874,0.826151,0.497425,0.502968,0.828704,0.744319,0.765895,0.9680094786729858,0.0004308023694130318,-0.2914651681741588,338.4870920392392,0.41912087731067293,192.52680995861377,5.0,4.0,0.0,0.0,0.0,75.0,25.0
autoUniv-au7-500,0.761174,0.667553,0.489893,0.640675,0.62777,0.689447,0.730499,0.24448897795591182,0.026,-1.3496496311677095,1050.5593825,0.09673735880262777,212.75939555642927,5.0,13.0,15.384615384615385,0.0,0.0,61.53846153846154,38.46153846153847
fri_c4_500_10,0.961997,0.960016,0.683602,0.691568,0.680965,0.876804,0.908757,-0.08101795870060252,0.022,-0.45239223661827865,-4.660405496540151e-10,0.23199399513863608,1.0000000003839673,0.0,11.0,0.0,0.0,0.0,100.0,0.0
user-knowledge,0.990425,0.981723,0.970699,0.97801,0.951591,0.962704,0.975992,0.22139303482587064,0.01488833746898263,-0.7674420842698998,0.41088784119106697,0.3924738086302208,0.2397104290704361,5.0,6.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664
spectrometer,0.932408,0.895371,0.777304,0.907027,0.85623,0.864961,0.914899,0.05660377358490566,0.192090395480226,8.728863037898872,4677.608287303219,1.1151783672556235,1314.8160776797756,48.0,102.0,0.0,0.0,0.0,98.0392156862745,1.9607843137254901
one-hundred-plants-texture,0.993082,0.948541,0.926838,0.98886,0.94146,0.977841,0.980495,0.9380475594493116,0.04065040650406504,15.691933328201879,0.01562502199616948,3.1430156657780963,0.026961524921387446,100.0,65.0,0.0,0.0,0.0,98.46153846153847,1.5384615384615385
analcatdata_reviewer,0.660219,0.488028,0.674577,0.652977,0.672191,0.674662,0.641559,0.15873015873015872,0.021108179419525065,,,,,4.0,8.0,0.0,96.30606860158312,46.76781002638523,0.0,100.0
