,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
analcatdata_michiganacc,0.75625,0.795139,0.771181,0.765451,0.780903,0.721701,0.708854,-4.280373831775701,0.037037037037037035,-0.4580763381428057,20.056481481481484,0.5046097985409755,4.622746326681331,0.0,4.0,0.0,0.0,0.0,50.0,50.0
vinnie,0.901982,0.920139,0.862592,0.864089,0.927207,0.903021,0.842218,-2.366754617414248,0.007894736842105263,-0.6767751267136785,34.99649122807018,0.05801612311935524,2.8895805028725623,0.0,3.0,0.0,0.0,0.0,100.0,0.0
schlvote,0.683929,0.571429,0.471429,0.623214,0.596429,0.6,0.705357,,,,,,,,,,,,,
fri_c2_100_50,0.912767,0.942939,0.793514,0.754516,0.846059,0.729269,0.900041,-0.07245417583434337,0.51,-1.147756216130029,2.1540784111630387e-10,-0.014521228774745513,1.0000000000971356,0.0,51.0,0.0,0.0,0.0,100.0,0.0
analcatdata_vehicle,0.908289,0.770723,0.886243,0.865079,0.890653,0.941799,0.86067,-412.82978723404256,0.10416666666666667,0.11827450378096716,347.0625,0.9343262445982594,284.33972834801204,0.0,5.0,60.0,0.0,0.0,20.0,80.0
diggle_table_a2,0.999988,0.997069,0.979713,0.979879,0.989258,0.999988,0.999571,0.9741100323624595,0.02903225806451613,-0.7768465352219659,144.80141233870967,0.11568235418091541,40.984187821722,9.0,9.0,0.0,0.0,0.0,88.88888888888889,11.11111111111111
balance-scale,0.945905,0.669637,0.9720437438180018,0.908843,0.968807,0.953771,0.922239,0.6971153846153846,0.008,-1.3007984392499752,3.0,0.0,1.4153462926807447,3.0,5.0,0.0,0.0,0.0,80.0,20.0
fri_c0_100_10,0.898788,0.787879,0.907879,0.871515,0.904242,0.844646,0.859394,-0.007963971898989699,0.11,-1.1257439327395096,-5.006749048686033e-10,-0.04986184233096482,1.0000000000903522,0.0,11.0,0.0,0.0,0.0,100.0,0.0
kc1-top5,0.888686,0.57938,0.390967,0.722172,0.773266,0.863139,0.695255,0.9097222222222222,0.6551724137931034,13.15535663372959,1290.4663028382242,2.72712132223159,2999.2874289113665,2.0,95.0,1.0526315789473684,0.0,0.0,98.94736842105263,1.0526315789473684
squash-unstored,0.887592,0.846326,0.845124,0.912489,0.880981,0.837683,0.763307,0.47058823529411764,0.46153846153846156,-0.21757033109850832,303.24084500754145,0.25605266818330574,68.5762304354689,3.0,24.0,0.0,17.307692307692307,3.125,83.33333333333334,16.666666666666664
